date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:04:19	82075/82075	---M--	200	added ('OK')	image/jpeg	etag:%221409b-555a5659a0f00%22	http://templates.majesticthemes.com/recipepress/images/temp-images/new-var1.jpg	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/templates.majesticthemes.com/recipepress/images/temp-images/new-var1.jpg	(from http://templates.majesticthemes.com/recipepress/variation3.html)
12:04:19	3796/3796	---M--	200	added ('OK')	image/jpeg	etag:%22ed4-555a57cd88067%22	http://templates.majesticthemes.com/recipepress/images/temp-images/tab2.jpg	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/templates.majesticthemes.com/recipepress/images/temp-images/tab2.jpg	(from http://templates.majesticthemes.com/recipepress/variation3.html)
12:04:20	4562/4562	---M--	200	added ('OK')	image/jpeg	etag:%2211d2-555a57d30af28%22	http://templates.majesticthemes.com/recipepress/images/temp-images/tab3.jpg	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/templates.majesticthemes.com/recipepress/images/temp-images/tab3.jpg	(from http://templates.majesticthemes.com/recipepress/variation3.html)
12:04:22	5662/5662	---M--	200	added ('OK')	image/png	etag:%22161e-555a54b82bb72%22	http://templates.majesticthemes.com/recipepress/images/logo-var1.png	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/templates.majesticthemes.com/recipepress/images/logo-var1.png	(from http://templates.majesticthemes.com/recipepress/variation3.html)
12:04:23	7777/7777	---M--	200	added ('OK')	image/jpeg	etag:%221e61-555a57d71b02d%22	http://templates.majesticthemes.com/recipepress/images/temp-images/widget-thumbnail.jpg	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/templates.majesticthemes.com/recipepress/images/temp-images/widget-thumbnail.jpg	(from http://templates.majesticthemes.com/recipepress/variation3.html)
12:04:27	95957/95957	---M-Z	200	added ('OK')	application/javascript	etag:%22176d5-555a57f4486d1-gzip%22	http://templates.majesticthemes.com/recipepress/js/jquery-1.11.3.min.js	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/templates.majesticthemes.com/recipepress/js/jquery-1.11.3.min.js	(from http://templates.majesticthemes.com/recipepress/variation3.html)
12:04:29	40143/40143	---M-Z	200	added ('OK')	application/javascript	etag:%229ccf-555a582d54c6b-gzip%22	http://templates.majesticthemes.com/recipepress/js/slick.min.js	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/templates.majesticthemes.com/recipepress/js/slick.min.js	(from http://templates.majesticthemes.com/recipepress/variation3.html)
12:04:31	13737/13737	---M-Z	200	added ('OK')	application/javascript	etag:%2235a9-555a580abc9bf-gzip%22	http://templates.majesticthemes.com/recipepress/js/jquery.meanmenu.js	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/templates.majesticthemes.com/recipepress/js/jquery.meanmenu.js	(from http://templates.majesticthemes.com/recipepress/variation3.html)
12:04:32	7030/7030	---M-Z	200	added ('OK')	application/javascript	etag:%221b76-555a580ce51cd-gzip%22	http://templates.majesticthemes.com/recipepress/js/jquery.selectric.min.js	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/templates.majesticthemes.com/recipepress/js/jquery.selectric.min.js	(from http://templates.majesticthemes.com/recipepress/variation3.html)
12:04:32	139675/139675	---M--	200	added ('OK')	image/jpeg	etag:%222219b-555a56cece793%22	http://templates.majesticthemes.com/recipepress/images/temp-images/recipe-of-the-day.jpg	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/templates.majesticthemes.com/recipepress/images/temp-images/recipe-of-the-day.jpg	(from http://templates.majesticthemes.com/recipepress/variation3.html)
12:04:32	15547/15547	---M-Z	200	added ('OK')	application/javascript	etag:%223cbb-555a5830895a3-gzip%22	http://templates.majesticthemes.com/recipepress/js/wow.js	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/templates.majesticthemes.com/recipepress/js/wow.js	(from http://templates.majesticthemes.com/recipepress/variation3.html)
12:04:34	21068/21068	---M-Z	200	added ('OK')	application/javascript	etag:%22524c-555a5819df367-gzip%22	http://templates.majesticthemes.com/recipepress/js/jquery.validate.min.js	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/templates.majesticthemes.com/recipepress/js/jquery.validate.min.js	(from http://templates.majesticthemes.com/recipepress/variation3.html)
12:04:34	42211/42211	---M-Z	200	added ('OK')	application/javascript	etag:%22a4e3-555a580845bc2-gzip%22	http://templates.majesticthemes.com/recipepress/js/jquery.form.js	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/templates.majesticthemes.com/recipepress/js/jquery.form.js	(from http://templates.majesticthemes.com/recipepress/variation3.html)
12:04:35	16106/16106	---M-Z	200	added ('OK')	application/javascript	etag:%223eea-555a57e207f3c-gzip%22	http://templates.majesticthemes.com/recipepress/js/custom.js	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/templates.majesticthemes.com/recipepress/js/custom.js	(from http://templates.majesticthemes.com/recipepress/variation3.html)
12:04:35	24748/24748	---M-Z	200	added ('OK')	application/javascript	etag:%2260ac-555a580f4a689-gzip%22	http://templates.majesticthemes.com/recipepress/js/jquery.swipebox.js	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/templates.majesticthemes.com/recipepress/js/jquery.swipebox.js	(from http://templates.majesticthemes.com/recipepress/variation3.html)
12:04:36	247/247	---M--	200	added ('OK')	image/png	etag:%2255003d15-f7%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
12:04:37	319/319	---M--	200	added ('OK')	image/png	etag:%2255003d15-13f%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
12:04:37	301/301	---M--	200	added ('OK')	image/png	etag:%2255003d15-12d%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
12:04:37	301/301	---M--	200	added ('OK')	image/png	etag:%2255003d15-12d%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_glass_75_dadada_1x400.png	C:/Users/Admin/Desktop/Capstone%20project/Food&Taste%20template/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_glass_75_dadada_1x400.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
